"scenario_id","scenario_label","scenario_family","method_id","claim_regime","adjustment_method","allocation_strategy","alpha","N","truth_delta_AB_minus_A","truth_delta_AB_minus_B","plan_delta_AB_minus_A","plan_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","allocation_A","allocation_B","allocation_AB","n_A","n_B","n_AB","planned_analytic_joint_success"
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.8158
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.8158
"heavy_tail_global_null__alpha_0p025","heavy_tail_global_null","distribution_sensitivity","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.73461
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","equal_iut_full","full_contribution","iut","equal",0.025,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.888537
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,240,0.32,0.32,0.55,0.55,0,0,0.292893,0.292893,0.414214,70,70,100,0.895639
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.888537
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.888537
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.888537
"overoptimistic_planning__alpha_0p025","overoptimistic_planning","effect_misspecification","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.828264
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","equal_iut_full","full_contribution","iut","equal",0.025,260,0.25,0.55,0.55,0.25,0,0,0.333333,0.333333,0.333333,87,87,86,0.373035
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,260,0.25,0.55,0.55,0.25,0,0,0.292893,0.292893,0.414214,76,76,108,0.381363
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,260,0.25,0.55,0.55,0.25,0,0,0.21446,0.391672,0.393868,56,102,102,0.416894
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,260,0.25,0.55,0.55,0.25,0,0,0.287045,0.357952,0.355004,75,93,92,0.392417
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,260,0.25,0.55,0.55,0.25,0,0,0.207724,0.396138,0.396138,54,103,103,0.418622
"reversed_limiting_component__alpha_0p025","reversed_limiting_component","allocation_fragility","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,260,0.25,0.55,0.55,0.25,0,0,0.333333,0.333333,0.333333,87,87,86,0.281538
"additive_positive_excess__alpha_0p025","additive_positive_excess","synergy_motivation","equal_iut_full","full_contribution","iut","equal",0.025,320,0.35,0.3,0.35,0.3,0,0,0.333333,0.333333,0.333333,107,107,106,0.497221
"additive_positive_excess__alpha_0p025","additive_positive_excess","synergy_motivation","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.025,320,0.35,0.3,0.35,0.3,0,0,0.292893,0.292893,0.414214,94,94,132,0.500012
"additive_positive_excess__alpha_0p025","additive_positive_excess","synergy_motivation","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.025,320,0.35,0.3,0.35,0.3,0,0,0.278742,0.332684,0.388573,89,107,124,0.504399
"additive_positive_excess__alpha_0p025","additive_positive_excess","synergy_motivation","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.025,320,0.35,0.3,0.35,0.3,0,0,0.313311,0.347722,0.338967,100,111,109,0.500899
"additive_positive_excess__alpha_0p025","additive_positive_excess","synergy_motivation","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.025,320,0.35,0.3,0.35,0.3,0,0,0.213675,0.38787,0.398455,68,124,128,0.487237
"additive_positive_excess__alpha_0p025","additive_positive_excess","synergy_motivation","equal_maxT_separate","separate_component_claims","maxT","equal",0.025,320,0.35,0.3,0.35,0.3,0,0,0.333333,0.333333,0.333333,107,107,106,0.389519
"global_null__alpha_0p050","global_null","global_null","equal_iut_full","full_contribution","iut","equal",0.05,240,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"global_null__alpha_0p050","global_null","global_null","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,240,0,0,0.45,0.45,0,0,0.292893,0.292893,0.414214,70,70,100,0.816228
"global_null__alpha_0p050","global_null","global_null","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,240,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"global_null__alpha_0p050","global_null","global_null","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,240,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"global_null__alpha_0p050","global_null","global_null","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,240,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"global_null__alpha_0p050","global_null","global_null","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,240,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.720166
"partial_null_AB_minus_A__alpha_0p050","partial_null_AB_minus_A","partial_null","equal_iut_full","full_contribution","iut","equal",0.05,240,0,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"partial_null_AB_minus_A__alpha_0p050","partial_null_AB_minus_A","partial_null","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,240,0,0.45,0.45,0.45,0,0,0.292893,0.292893,0.414214,70,70,100,0.816228
"partial_null_AB_minus_A__alpha_0p050","partial_null_AB_minus_A","partial_null","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,240,0,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"partial_null_AB_minus_A__alpha_0p050","partial_null_AB_minus_A","partial_null","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,240,0,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"partial_null_AB_minus_A__alpha_0p050","partial_null_AB_minus_A","partial_null","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,240,0,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"partial_null_AB_minus_A__alpha_0p050","partial_null_AB_minus_A","partial_null","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,240,0,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.720166
"partial_null_AB_minus_B__alpha_0p050","partial_null_AB_minus_B","partial_null","equal_iut_full","full_contribution","iut","equal",0.05,240,0.45,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"partial_null_AB_minus_B__alpha_0p050","partial_null_AB_minus_B","partial_null","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,240,0.45,0,0.45,0.45,0,0,0.292893,0.292893,0.414214,70,70,100,0.816228
"partial_null_AB_minus_B__alpha_0p050","partial_null_AB_minus_B","partial_null","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,240,0.45,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"partial_null_AB_minus_B__alpha_0p050","partial_null_AB_minus_B","partial_null","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,240,0.45,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"partial_null_AB_minus_B__alpha_0p050","partial_null_AB_minus_B","partial_null","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,240,0.45,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"partial_null_AB_minus_B__alpha_0p050","partial_null_AB_minus_B","partial_null","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,240,0.45,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.720166
"balanced_positive__alpha_0p050","balanced_positive","alternative","equal_iut_full","full_contribution","iut","equal",0.05,240,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"balanced_positive__alpha_0p050","balanced_positive","alternative","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,240,0.45,0.45,0.45,0.45,0,0,0.292893,0.292893,0.414214,70,70,100,0.816228
"balanced_positive__alpha_0p050","balanced_positive","alternative","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,240,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"balanced_positive__alpha_0p050","balanced_positive","alternative","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,240,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"balanced_positive__alpha_0p050","balanced_positive","alternative","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,240,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.809757
"balanced_positive__alpha_0p050","balanced_positive","alternative","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,240,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,80,80,80,0.720166
