Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-2374,LFW527 + binimetinib,"IGF1R,MAP2K1,MAP2K2",combo,-22.5,44,6.729411765,55,155,155,SD-->-->PD
X-2403,5FU,chemotherapy,single,15,17,19.05,17,42,42,SD-->PD
X-2403,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,61.1,21,15.375,11,27,27,PD
X-2403,BKM120 + LJC049,"panPI3K,TNKS",combo,239.4,21,48.06,14,11.49305556,28,PD
X-2403,BYL719,PIK3CA,single,76.4,34,25.7,14,22.12568306,37,PD
X-2403,BYL719 + cetuximab,"PIK3CA,EGFR",combo,-14.9,15,-13.1,15,38.1183432,67,SD-->PD
X-2403,BYL719 + cetuximab + encorafenib,"PIK3CA,EGFR,BRAF",combo,-93.9,15,-21.16,15,15,15,PR
X-2403,BYL719 + encorafenib,"PIK3CA,BRAF",combo,163.4,24,33.22,14,15.21571649,28,PD
X-2403,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,139.5,20,41,11,11.96428571,27,PD
X-2403,BYL719 + binimetinib,"PIK3CA,MAPK",combo,134.6,21,13.14,14,16.46327684,28,PD
X-2403,cetuximab,EGFR,single,72.7,21,18.23333333,12,24.71040724,54,PD
X-2403,cetuximab + encorafenib,"EGFR,BRAF",combo,32.9,12,24.63333333,12,12,12,SD
X-2403,CGM097,MDM2,single,49.2,20,10.42,13,28,28,PD
X-2403,CKX620,MAPK,single,-17.2,10,-12.08,14,41,41,SD-->PD
X-2403,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,26.9,21,4.9,11,41,41,SD
X-2403,HDM201,MDM2,single,-1.2,16,2.75,16,35,35,SD-->PD
X-2403,LEE011,"CDK4,CDK6,CDK4/6",single,92,24,20.62,14,19.87947883,28,PD
X-2403,encorafenib,BRAF,single,473,21,114.7,14,4.329490874,24,PD
X-2403,LJC049,TNKS,single,361.8,21,137.86,14,6.849411765,28,PD
X-2403,LKA136,"NTRK1,NTRK2,NTRK3",single,300.4,25,48.975,11,11.40540541,28,PD
X-2403,binimetinib,"MAP2K1,MAP2K2,MAPK",single,273,21,82.08,14,6.436766623,28,PD
X-2403,untreated,"UNKNOWN,Untreated",single,217.1,21,62.6,14,12.23350254,28,PD
X-2428,abraxane,Tubulin,single,102.9,21,52.625,11,12.59541189,42,PD
X-2428,abraxane + gemcitabine,"Tubulin,chemotherapy",combo,-47.9,79,-3.152173913,79,79,79,SD-->PD
X-2428,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,-37.9,58,-13.125,12,77.11304348,78,SD-->PD
X-2428,BKM120 + LDE225,"panPI3K,SMO",combo,-63.1,49,-39.68947368,63,81,81,PR
X-2428,BKM120 + binimetinib,"panPI3K,MAPK,MAP2K1,MAP2K2,PIK3CA,PIK3CB,PIK3CG,PIK3CD",combo,-57.9,73,-40.76521739,77,81,81,PR
X-2428,BYL719,PIK3CA,single,-1.8,10,2.4,13,31.99212598,55,SD-->PD
X-2428,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,15,20,17.88571429,20,97,97,SD-->PD
X-2428,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,-5.1,14,-2.24,14,87.48684211,122,SD-->PD
X-2428,HDM201,MDM2,single,220.6,20,55.38,13,13.05111821,24,PD
X-2428,figitumumab,IGF1R,single,19.9,20,32.82,13,32.44508671,57,PD
X-2428,figitumumab + binimetinib,"IGF1R,MAPK",combo,-79.1,35,-57.55263158,68,90,90,PR-->-->PD
